name,description,price
Smart Doorbell,Cool down your space quickly and efficiently.,14.85
USB Hub,Central hub to control all your smart devices.,206.21
VR Headset,Project movies in 4K resolution with vivid colors.,57.95
Fitness Tracker,Block out the world with premium sound quality.,280.18
Portable SSD,Track your fitness and notifications on the go.,121.0
Wireless Router,Immerse yourself in virtual worlds with this headset.,285.53
Mechanical Keyboard,Answer your door from anywhere with this smart doorbell.,315.52
Wireless Earbuds,Capture your moments in stunning clarity.,52.82
Robot Vacuum,Manage your home's temperature from anywhere.,410.66
Tablet Cover,"Protective cover with a sleek, lightweight design.",310.84
Wireless Mouse,Monitor your health with an advanced fitness tracker.,482.63
HDMI Cable,Control your lights remotely with your smartphone.,474.96
Fitness Tracker,Block out the world with premium sound quality.,276.76
Memory Card,In-ear design with clear sound and touch controls.,194.38
Smart Doorbell,Block out the world with premium sound quality.,331.87
Tablet Cover,Portable speaker with deep bass and Bluetooth connectivity.,178.1
Bluetooth Speaker,Expand your USB ports with this compact hub.,317.95
Gaming Keyboard,High-definition video calls with autofocus.,422.03
Mechanical Keyboard,Track your fitness and notifications on the go.,250.38
Portable SSD,High-capacity power bank with multiple charging ports.,457.67
Wireless Earbuds,Cool down your space quickly and efficiently.,175.39
4K Projector,Charge your devices on the go with fast charging.,363.24
Smart Home Hub,Stream your favorite shows in high definition.,338.78
Smart Thermostat,Expand your USB ports with this compact hub.,50.05
Smart Home Hub,Precision tracking for all your gaming needs.,464.77
Bluetooth Speaker,Extend your Wi-Fi coverage throughout your home.,270.93
Portable Air Conditioner,High-speed transfer and large storage capacity.,132.42
Gaming Mouse,Supports 4K resolution with high-speed connectivity.,204.0
Bluetooth Adapter,Expand your USB ports with this compact hub.,171.03
Smartwatch,Cool down your space quickly and efficiently.,309.13
USB Hub,RGB lighting and mechanical keys for enhanced gaming.,54.1
Mechanical Keyboard,Project movies in 4K resolution with vivid colors.,259.96
Gaming Mouse,High-capacity power bank with multiple charging ports.,75.91
External Hard Drive,Fast charging with safety protection and compact design.,412.99
Smartphone Case,Crystal clear display with vibrant colors.,37.43
Wireless Router,Answer your door from anywhere with this smart doorbell.,59.65
Portable Power Bank,Capture action moments with this rugged camera.,221.0
Tablet Cover,High-speed storage with sleek design.,249.46
Bluetooth Headphones,Portable speaker with deep bass and Bluetooth connectivity.,373.87
Car Charger,Stream your favorite shows in high definition.,433.33
Gaming Mouse,High-definition video calls with autofocus.,181.53
Portable Power Bank,Store your files securely with fast read/write speeds.,205.12
Graphic Tablet,In-ear design with clear sound and touch controls.,96.73
Fitness Tracker,Control your lights remotely with your smartphone.,266.6
Memory Card,Extend your Wi-Fi coverage throughout your home.,240.58
Wireless Mouse,Track your fitness and notifications on the go.,168.99
Memory Card,"Powerful sound in a portable, compact design.",458.49
Portable Speaker,Supports 4K resolution with high-speed connectivity.,110.91
HDMI Cable,Extend your Wi-Fi coverage throughout your home.,240.13
